Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_96'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_51'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_67'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_61'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_90'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_32'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NetworkOperation(clock=Clock(dt=100. * msecond, name='clock'), when=start, order=0, name='networkoperation_1'), Clock: Clock(dt=100. * msecond, name='clock'), dt: 100. ms
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_73'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_49'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_125'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_119'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_20'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_108'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_23'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_2'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_131'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
